step,total,pde,initial,center,flux
1,3.648679473806e-01,3.128069765482e-01,0.000000000000e+00,0.000000000000e+00,5.206097083247e-02
100,1.724650426117e-02,2.985383532415e-03,0.000000000000e+00,0.000000000000e+00,1.426112072876e-02
200,1.311767813434e-02,1.665871020089e-03,0.000000000000e+00,0.000000000000e+00,1.145180711425e-02
300,1.147810921121e-02,1.359396314918e-03,0.000000000000e+00,0.000000000000e+00,1.011871289629e-02
400,1.049085105953e-02,1.321771815615e-03,0.000000000000e+00,0.000000000000e+00,9.169079243917e-03
500,9.830564613734e-03,1.324372278249e-03,0.000000000000e+00,0.000000000000e+00,8.506192335486e-03
600,9.336113330170e-03,1.265263919207e-03,0.000000000000e+00,0.000000000000e+00,8.070849410964e-03
700,8.742267576334e-03,1.077264906347e-03,0.000000000000e+00,0.000000000000e+00,7.665002669987e-03
800,8.433010478837e-03,9.989550910908e-04,0.000000000000e+00,0.000000000000e+00,7.434055387747e-03
900,8.143769202872e-03,9.613613484606e-04,0.000000000000e+00,0.000000000000e+00,7.182407854411e-03
1000,7.880510269931e-03,9.412686258312e-04,0.000000000000e+00,0.000000000000e+00,6.939241644100e-03
1100,7.627281327375e-03,9.136463734573e-04,0.000000000000e+00,0.000000000000e+00,6.713634953918e-03
1200,7.497256324077e-03,8.968423252152e-04,0.000000000000e+00,0.000000000000e+00,6.600413998862e-03
1300,7.406718947561e-03,8.848140634247e-04,0.000000000000e+00,0.000000000000e+00,6.521904884136e-03
1400,7.313704545339e-03,8.724126385524e-04,0.000000000000e+00,0.000000000000e+00,6.441291906787e-03
1500,7.218767703903e-03,8.599961909355e-04,0.000000000000e+00,0.000000000000e+00,6.358771512968e-03
1850,6.530504589050e-04,1.394448601452e-04,0.000000000000e+00,0.000000000000e+00,5.136055987598e-04
